Decade,DecadeOccurrence,Concrete,Brick,Wood,Steel,Glass
1800s,0.01,0.01,0.01,0.0,0.0,0.0
1810s,0.0,0.0,0.01,0.0,0.0,0.0
1820s,0.03,0.04,0.04,0.0,0.0,0.0
1830s,0.05,0.07,0.08,0.01,0.0,0.0
1840s,0.13,0.16,0.18,0.02,0.01,0.0
1850s,0.19,0.21,0.26,0.02,0.01,0.0
1860s,0.17,0.18,0.22,0.02,0.01,0.0
1870s,0.3,0.28,0.36,0.03,0.02,0.0
1880s,0.54,0.52,0.71,0.06,0.03,0.0
1890s,2.98,1.93,2.62,0.27,0.11,0.02
1900s,4.72,3.32,4.19,0.42,0.22,0.03
1910s,7.21,4.39,5.37,0.57,0.29,0.04
1920s,20.74,8.98,10.03,1.29,0.54,0.09
1930s,16.02,6.69,8.32,0.97,0.37,0.06
1940s,7.86,2.3,2.02,0.37,0.09,0.03
1950s,9.88,2.8,2.45,0.44,0.13,0.03
1960s,8.12,2.85,2.52,0.42,0.16,0.03
1970s,4.79,1.64,1.33,0.26,0.09,0.02
1980s,3.97,1.48,1.13,0.23,0.09,0.02
1990s,3.99,1.52,1.38,0.24,0.07,0.02
2000s,5.57,2.44,2.66,0.34,0.14,0.02
2010s,2.14,1.24,1.22,0.14,0.09,0.01
2020s,0.6,0.35,0.38,0.04,0.02,0.0
